position,title
Q866680,President
Q5354130,Vice President
Q1043568,Prime Minister
Q5261077,Deputy Prime Minister
Q49054595,Head of the Government Office
Q113003020,Minister of Agriculture
Q61128818,Minister of Construction
Q4294935,Minister of Defence
Q49056310,Minister of Education
Q61128167,Minister of Environment and Natural Resources
Q113002811,Minister of Finance
Q19892487,Minister of Foreign Affairs
Q30923396,Minister of Health
Q30921194,Minister of Internal Affairs
Q61128192,Minister of Justice
Q113002962,Minister of Planning and Investment
Q16481261,Minister of Public Security
Q10753233,Minister of Science and Technology
Q113002908,Minister of Transport
Q428110,Chairman of the National Assembly
Q10826610,Governor of the State Bank
Q63275220,Chief of General Staff
