item,itemLabel,startDate,endDate,sourceDate,psid
Q10787909,Lê Văn Dũng,1998,2001,2022-07-10,Q10787909-9CA3EF50-095E-4D33-A335-95F38C69B0DF
Q485476,Phùng Quang Thanh,2001,2006-08-31,2022-07-10,Q485476-B72F2CD7-701A-4FD7-8762-D610E19356EE
Q10799232,Nguyễn Khắc Nghiên,2006-08-31,2010-12-22,2022-07-10,Q10799232-96EF2569-BB49-4068-9E46-9B25EA6FD485
Q10842107,Đỗ Bá Tỵ,2010-12-22,2016-05-17,2022-07-10,Q10842107-44EA5DE3-CD04-4B91-A939-A738997379E3
Q20026119,Phan Văn Giang,2016-05-17,2021-05-31,,Q20026119-B2898FE0-A23C-4429-821D-2D06585486D8
Q20025996,Nguyễn Tân Cương,2021-05-31,,2022-07-10,Q20025996-419348CA-EF15-43E1-B2B2-937D762E376A
