item,itemLabel,startDate,endDate,sourceDate,psid
Q10787645,Lê Huy Ngọ,1997,2004-06-01,2022-07-10,Q10787645-5BBE8EFC-B330-4B4A-B1A5-847FC3ED2834
Q10744338,Cao Đức Phát,2004-06-01,2004-11-03,2022-07-10,Q10744338-D901B6EA-6A47-4AE2-8655-4FD1C5F02251
Q10744338,Cao Đức Phát,2004-11-03,2016-07-27,2022-07-10,Q10744338-5D0A0178-78A4-4B82-AB8D-59FC75ECE14B
Q24957904,Nguyễn Xuân Cường,2016-07-28,2021-04-07,2022-07-10,Q24957904-04255D37-2981-4ECE-872E-342CACB27F16
Q16157439,Lê Minh Hoan,2021-04-08,,2022-07-10,Q16157439-FA4ECC37-B271-4423-AD75-0A07EC643146
