item,itemLabel,startDate,endDate,sourceDate,psid
Q10842154,Đỗ Quang Trung,1996-12-01,2002,2022-07-10,Q10842154-F6BF8FB4-0E4D-43CE-A09A-80616C640505
Q10842154,Đỗ Quang Trung,2002,2007-06-28,2022-07-10,Q10842154-2F2AA924-5922-4D46-914E-CABBD0FFE3ED
Q10829633,Trần Văn Tuấn,2007-06-28,2011-08-03,2022-07-10,Q10829633-15E9E794-AFA1-4F0E-921B-43106079DFF3
Q10799548,Nguyễn Thái Bình,2011-08-03,2016-04-08,2022-07-10,Q10799548-84F100EA-05D3-4649-B8C2-B2676CF6E24D
Q10787955,Lê Vĩnh Tân,2016-04-09,2021-04-07,2022-07-10,Q10787955-A1275CA6-3211-4DA5-9950-FA0AD010B1F8
Q24958645,Phạm Thị Thanh Trà,2021-04-08,,2022-07-10,Q24958645-5548A1E6-9120-459C-8530-10BA37796DED
