item,itemLabel,startDate,endDate,sourceDate,psid
Q10799276,Nguyễn Minh Hiển,1997-09-29,2006-06-28,2022-07-10,Q10799276-5DEC0852-BE26-4EC7-922F-B7A498C9A3FF
Q7022980,Nguyễn Thiện Nhân,2006-06-28,2010-06-17,2022-07-10,Q7022980-EE7A3CD3-47FC-47A0-979D-B6B5B349DB99
Q10807090,Phạm Vũ Luận,2010-06-17,2016-04-08,2022-07-10,Q10807090-2DC1151D-80F9-4B46-BFE4-34B6732D221B
Q10805862,Phùng Xuân Nhạ,2016-04-08,2021-04-07,2022-07-10,Q10805862-DFD43092-A836-4BF0-B40E-86E6EFFE49DA
Q30923376,Nguyễn Kim Sơn,2021-04-08,,2022-07-10,Q30923376-6E7B8499-9239-4969-9C9A-23B1BE930422
