item,itemLabel,startDate,endDate,sourceDate,psid
Q139324,Trần Đức Lương,1997-09-24,2006-06-27,,Q139324-BC35E7FC-29F6-4B86-88F0-BC0F9341CA8D
Q57400,Nguyễn Minh Triết,2006-06-27,2011-07-25,,Q57400-083BA2DD-BCA7-4C01-88DD-3EBAD331D0FB
Q57407,Trương Tấn Sang,2011-07-25,2016-07-25,,Q57407-BC970139-E82C-421B-86CF-EEDE3A10571B
Q7833292,Trần Đại Quang,2016-04-02,2018-09-21,,Q7833292-71810bc9-4223-40a6-9bd4-50550a7de530
Q10841571,Đặng Thị Ngọc Thịnh,2018-09-21,2018-10-23,,Q10841571-1c0a8b0f-4f3a-22ff-d7e7-f9f8130270f7
Q318458,Nguyen Phu Trong,2018-10-23,2021-04-05,,Q318458-867527b8-4605-53aa-6ff2-259f6039d20d
Q10800073,Nguyễn Xuân Phúc,2021-04-05,,,Q10800073-885cb849-4485-2b4c-e444-31eae6baa645
