item,itemLabel,startDate,endDate,sourceDate,psid
Q113003083,Nguyễn Mạnh Kiểm,1997,2002,2022-07-10,Q113003083-ACE2B35A-947F-407A-B410-65BA4310A281
Q10799144,Nguyễn Hồng Quân,2002-08,2011-08-03,2022-07-10,Q10799144-E6C3A672-EFC2-467A-97F4-5DA686033640
Q10829899,Trịnh Đình Dũng,2011-08-03,2016-04-08,2022-07-10,Q10829899-C686F19F-DF7D-4691-B5B5-687F8C4218A0
Q10806918,Phạm Hồng Hà,2016-04-09,2021-04-07,2022-07-10,Q10806918-D09F1331-7425-423A-8D22-2962272B3A30
Q10799491,Nguyễn Thanh Nghị,2021-04-08,,2022-07-10,Q10799491-44261204-14D1-40C5-A531-751487C84658
