item,itemLabel,startDate,endDate,sourceDate,psid
Q25418315,Lê Ngọc Hoàn,1997,2002,2022-07-10,Q25418315-F0364A51-224A-46C1-AA96-4DA5EBF1AA56
Q10840501,Đào Đình Bình,2002,2006-06,2022-07-10,Q10840501-F16F2BF0-DABC-4102-8D7B-4FF1DE804AD2
Q10771978,Hồ Nghĩa Dũng,2006-06,2011-08-03,2022-07-10,Q10771978-DCE43D7C-4029-4A52-AD1A-BF8BBD013DA3
Q94392,Đinh La Thăng,2011-08-03,2016-04-08,2022-07-10,Q94392-73493D3E-6B00-410E-BBD0-F8E2C5DA269C
Q24954947,Trương Quang Nghĩa,2016-04-09,2017-10-25,2022-07-10,Q24954947-0A17A347-FFEC-4A39-8750-4FF1C6C8A02C
Q10799994,Nguyễn Văn Thể,2017-10-26,,2022-07-10,Q10799994-D70EC2A7-4CDC-496D-9A41-0CDE17705731
