item,itemLabel,startDate,endDate,sourceDate,psid
Q446909,Nguyễn Thị Bình,1992-09-10,2002-08-08,,Q446909-ad4f5d50-42a6-9afe-7576-1ddd25fab5b3
Q7848000,Trương Mỹ Hoa,2002-08-12,2007-07-25,2022-07-10,Q7848000-0ECA2120-B792-4966-ADCA-F4554769B4E5
Q7022967,Nguyễn Thị Doan,2007-07-25,2016-04-08,2022-07-10,Q7022967-02E023BA-CA5D-4085-9DDD-E07910320BD9
Q10841571,Đặng Thị Ngọc Thịnh,2016-04-08,2021-04-06,,Q10841571-e7587d21-41dc-8f48-236a-2071b6c5dc21
Q24957799,Võ Thị Ánh Xuân,2021-04-06,,2022-07-10,Q24957799-A63AE47E-CFE8-4635-9527-283362DDA76D
