item,itemLabel,startDate,endDate,sourceDate,psid
Q16157036,Đoàn Mạnh Giao,2002-08,2007-08,2022-07-10,Q16157036-08D2437B-1444-46A9-A509-246C30C2C04D
Q10800073,Nguyễn Xuân Phúc,2007-08,2011-08,2022-07-10,Q10800073-0A9CDB1F-56CA-487C-AE0E-21BC39F0A850
Q10833975,Vũ Đức Đam,2011-08,2013-11,2022-07-10,Q10833975-114AA685-665A-4FDA-A325-372BB7ABAE59
Q10799955,Nguyễn Văn Nên,2013-11,2016-04,2022-07-10,Q10799955-1849AE83-C5A0-42D2-8FD2-3D7E72019C50
Q20025905,Mai Tiến Dũng,2016-04,2021-04-07,2022-07-10,Q20025905-D2FAD3B5-7A1F-4709-BED7-9EB621B74261
Q25418498,Trần Văn Sơn,2021-04-08,,2022-07-10,Q25418498-E981C14A-04DA-43A3-9CE8-E48194FA9D72
