item,itemLabel,startDate,endDate,sourceDate,psid
Q10748036,Chu Tuấn Nhạ,1997-09-29,2002-08-08,2022-07-10,Q10748036-12B4297A-B762-445B-BD64-62AE66737DCE
Q2971491,Hoàng Văn Phong,2002-08-08,2011-08-01,2022-07-10,Q2971491-13A15CBC-7F6A-4B2C-9144-A70F3A4674C9
Q10799433,Nguyễn Quân,2011-08-03,2016-04-08,2022-07-10,Q10799433-128F6D6A-E0EC-4F97-9CDE-A861748A1348
Q16480526,Chu Ngọc Anh,2016-04-08,2020-11-12,2022-07-10,Q16480526-70A454E1-12D4-4350-BDBF-C08F0BB10D05
Q10769930,Huỳnh Thành Đạt,2020-11-12,,2022-07-10,Q10769930-36466621-648E-4A8E-8DD1-6EB63BD2EA23
