item,itemLabel,startDate,endDate,sourceDate,psid
Q10799296,Nguyễn Mạnh Cầm,1991-08-09,2000-01-28,2022-07-10,Q10799296-B1F3EA79-FE80-4227-AAA5-C7CEE29DD2F8
Q10799078,Nguyễn Dy Niên,2000-01-28,2006-06-28,2022-07-10,Q10799078-B8F75FF5-4669-47C5-AB2D-9394A6F50105
Q58170,Phạm Gia Khiêm,2006-06-28,2011-08-03,2022-07-10,Q58170-2D992B3F-9B12-4559-A624-B2E0A23E2DE2
Q10806892,Phạm Bình Minh,2011-08-03,2021-04-07,,Q10806892-2B95672B-A947-47F3-8C0E-BDB54F263AA3
Q30921853,Bùi Thanh Sơn,2021-04-08,,,Q30921853-2648BCDB-7910-4A03-B3B7-BA6FC2BE2AFA
